date,Sanders
0,5.29
1,100.0
2,37.82
3,18.919999999999998
4,31.900000000000002
5,12.959999999999999
6,7.0200000000000005
7,6.0
8,16.0
9,9.299999999999999
10,6.24
11,5.76
12,6.25
13,4.62
14,5.0600000000000005
15,19.8
16,7.840000000000001
17,5.06
18,9.0
19,11.899999999999999
20,7.5600000000000005
21,26.52
22,12.24
23,5.5200000000000005
24,5.5200000000000005
25,4.62
26,11.56
27,6.24
28,4.62
29,4.84
30,4.2
31,15.860000000000001
32,7.56
33,9.66
34,10.5
35,8.36
36,8.55
37,8.93
38,21.0
39,12.48
40,10.29
41,10.5
42,44.0
43,10.56
44,9.45
45,9.200000000000001
46,8.17
47,24.42
48,9.200000000000001
49,9.0
50,8.74
51,21.3
52,11.22
53,10.29
54,25.16
55,20.7
56,11.0
57,15.860000000000001
58,37.2
59,9.0
60,7.02
61,12.959999999999999
62,7.98
63,9.87
64,8.55
65,10.08
66,13.2
67,9.200000000000001
68,14.5
69,11.5
70,13.2
71,10.08
72,9.4
73,10.08
74,11.96
75,16.470000000000002
76,11.0
77,10.08
78,8.93
79,13.44
80,45.0
81,20.7
82,35.6
83,16.470000000000002
84,11.96
85,8.55
