date,Steyer
0,0.12
1,0.25
2,0.2
3,0.09
4,0.16
5,0.25
6,0.56
7,0.2
8,0.30000000000000004
9,0.35000000000000003
10,0.9
11,0.2
12,0.49000000000000005
13,0.8099999999999999
14,1.56
15,100.0
16,1.44
17,0.56
18,0.25
19,0.42000000000000004
20,0.36
21,0.25
22,0.16
23,0.30000000000000004
24,0.09
25,0.16
26,0.12
27,0.36
28,0.25
29,0.25
30,0.09
31,0.28
32,0.36
33,0.08
34,0.18
35,0.72
36,0.5
37,0.9800000000000001
38,2.2
39,4.0600000000000005
40,1.28
41,4.62
42,1.12
43,1.52
44,1.9000000000000001
45,0.6000000000000001
46,0.9800000000000001
47,0.78
48,0.84
49,1.44
50,3.0
51,46.0
52,3.36
53,2.2
54,11.73
55,8.4
56,6.630000000000001
57,7.02
58,7.79
59,6.460000000000001
60,3.48
61,4.0600000000000005
62,4.05
63,5.1000000000000005
64,5.12
65,2.42
66,0.45
67,0.24
68,0.18
69,0.15
70,0.35000000000000003
71,0.78
72,0.9100000000000001
73,1.28
74,1.5
75,0.96
76,0.78
77,1.2
78,0.9800000000000001
79,2.2
80,51.0
81,2.4
82,1.53
83,1.9000000000000001
84,1.3499999999999999
85,1.2
