date,Yang
0,12.4
1,11.78
2,12.48
3,11.02
4,9.86
5,10.729999999999999
6,9.520000000000001
7,8.84
8,8.64
9,7.199999999999999
10,8.58
11,6.96
12,10.080000000000002
13,6.9
14,9.18
15,80.0
16,14.280000000000001
17,15.749999999999998
18,10.799999999999999
19,8.91
20,8.58
21,8.32
22,7.25
23,7.13
24,6.67
25,6.16
26,6.67
27,6.96
28,8.25
29,7.199999999999999
30,8.0
31,10.799999999999999
32,12.96
33,16.5
34,16.43
35,10.32
36,9.43
37,10.08
38,10.5
39,8.8
40,8.14
41,8.36
42,9.200000000000001
43,10.559999999999999
44,10.559999999999999
45,10.08
46,9.43
47,10.32
48,10.799999999999999
49,11.88
50,11.0
51,57.99999999999999
52,19.720000000000002
53,13.440000000000001
54,19.14
55,15.299999999999999
56,15.120000000000001
57,13.160000000000002
58,10.559999999999999
59,7.2
60,9.24
61,6.5
62,4.62
63,9.92
64,12.24
65,9.28
66,9.0
67,7.0200000000000005
68,6.24
69,7.5600000000000005
70,11.22
71,9.3
72,7.290000000000001
73,5.76
74,5.52
75,7.290000000000001
76,8.12
77,7.0200000000000005
78,7.0200000000000005
79,12.25
80,100.0
81,25.5
82,12.959999999999999
83,11.549999999999999
84,11.879999999999999
85,11.9
