Joe Biden_unscaled,Joe Biden_monthly,isPartial,scale,Joe Biden
7,7,False,0.07,0.49000000000000005
8,7,False,0.07,0.56
7,6,False,0.06,0.42
9,9,False,0.09,0.8099999999999999
10,11,False,0.11,1.1
10,9,False,0.09,0.8999999999999999
10,11,False,0.11,1.1
10,9,False,0.09,0.8999999999999999
8,8,False,0.08,0.64
8,8,False,0.08,0.64
16,14,False,0.14,2.24
20,22,False,0.22,4.4
14,14,False,0.14,1.9600000000000002
10,10,False,0.1,1.0
8,8,False,0.08,0.64
10,9,False,0.09,0.8999999999999999
9,9,False,0.09,0.8099999999999999
11,10,False,0.1,1.1
15,15,False,0.15,2.25
22,23,False,0.23,5.0600000000000005
15,16,False,0.16,2.4
12,13,False,0.13,1.56
11,11,False,0.11,1.21
8,8,False,0.08,0.64
10,9,False,0.09,0.8999999999999999
10,10,False,0.1,1.0
20,21,False,0.21,4.2
100,100,False,1.0,100.0
30,31,False,0.31,9.3
20,21,False,0.21,4.2
91,15,False,0.15,13.65
74,12,False,0.12,8.879999999999999
66,10,False,0.1,6.6000000000000005
57,9,False,0.09,5.13
83,12,False,0.12,9.959999999999999
71,12,False,0.12,8.52
70,11,False,0.11,7.7
54,9,False,0.09,4.859999999999999
58,9,False,0.09,5.22
46,7,False,0.07,3.22
45,6,False,0.06,2.6999999999999997
40,6,False,0.06,2.4
33,6,False,0.06,1.98
44,7,False,0.07,3.08
39,7,False,0.07,2.7300000000000004
47,7,False,0.07,3.2900000000000005
36,6,False,0.06,2.16
36,6,False,0.06,2.16
37,6,False,0.06,2.2199999999999998
30,4,False,0.04,1.2
42,6,False,0.06,2.52
36,6,False,0.06,2.16
34,5,False,0.05,1.7000000000000002
31,5,False,0.05,1.55
34,5,False,0.05,1.7000000000000002
40,5,False,0.05,2.0
35,6,False,0.06,2.1
34,5,False,0.05,1.7000000000000002
31,5,False,0.05,1.55
44,7,False,0.07,3.08
100,17,False,0.17,17.0
100,78,False,0.78,78.0
19,15,False,0.15,2.85
14,10,False,0.1,1.4000000000000001
10,8,False,0.08,0.8
14,11,False,0.11,1.54
17,14,False,0.14,2.3800000000000003
17,14,False,0.14,2.3800000000000003
14,11,False,0.11,1.54
42,34,False,0.34,14.280000000000001
35,26,False,0.26,9.1
23,16,False,0.16,3.68
16,11,False,0.11,1.76
15,12,False,0.12,1.7999999999999998
12,9,False,0.09,1.08
8,6,False,0.06,0.48
11,9,False,0.09,0.99
11,8,False,0.08,0.88
9,7,False,0.07,0.6300000000000001
6,5,False,0.05,0.30000000000000004
13,10,False,0.1,1.3
13,11,False,0.11,1.43
10,7,False,0.07,0.7000000000000001
9,8,False,0.08,0.72
13,10,False,0.1,1.3
13,9,False,0.09,1.17
11,8,False,0.08,0.88
13,10,False,0.1,1.3
12,9,False,0.09,1.08
11,9,False,0.09,0.99
16,13,False,0.13,2.08
10,8,False,0.08,0.8
